# r7 e2e overlap session 2026-09-22T01:24:45Z
# post_freeze: true (2026-09-02 freeze; R7 = pre-declared W8 addendum, #73 comment)
# governor: performance (cpupower binary not installed on this box; scaling_governor sysfs already read 'performance' on all pinned cores, no change made)
# persistence: Enabled (already Enabled pre-session; sudo nvidia-smi -pm 1 re-confirmed)
# gpu: NVIDIA GeForce RTX 2080 Ti
# pinned: numactl --physcpubind=4-7,20-23 --membind=1 (CORRECTED from brief's --membind=0: die/node 0 has 0 MB local DRAM per docs/m0-2080ti-bringup.md and numactl --hardware; GPU0's die is node 1 with 62 GiB local DRAM; cgroup cpuset.mems also restricts to 1,3. Literal --membind=0 fails with 'node argument 0 is out of range', exit 1, no rows.)
# binary: standalone nvcc sm_75 (bench/rtrack/README.md R7 recipe), rebuilt from HEAD 843a567
machine,gpu,method,transform,N,r,threads,chunk_req_mib,n_chunks,layers,gemm_batch,repeats,measured_C,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,load_only_ms,compute_only_ms,delta_ms,exposed_load_ms,verified,post_freeze
epyc7351-2080ti,2080ti,a_serial,quant,8192,0.25,8,16,4,16,1024,17,3.67342,990.498,987.54,995.204,0.37245,0,218.633,803.131,187.367,187.367,1,1
epyc7351-2080ti,2080ti,b_serial_load_only,quant,8192,0.25,8,256,1,16,1024,0,0,329.17,329.158,329.175,0.00266558,0,329.17,0,0,0,1,1
epyc7351-2080ti,2080ti,b_serial,quant,8192,0.25,8,256,1,16,1024,2,0.271521,417.338,417.322,417.407,0.00286694,0,329.17,89.3766,88.1679,327.961,1,1
epyc7351-2080ti,2080ti,b_serial,quant,8192,0.25,8,256,1,16,1024,4,0.551555,495.938,495.84,496.062,0.0181291,0,329.17,181.555,166.768,314.383,1,1
epyc7351-2080ti,2080ti,b_serial,quant,8192,0.25,8,256,1,16,1024,9,1.26668,712.755,712.006,713.452,0.112446,0,329.17,416.951,295.804,295.804,1,1
epyc7351-2080ti,2080ti,b_serial,quant,8192,0.25,8,256,1,16,1024,17,2.43987,1085.09,1082.22,1092.68,0.185081,0,329.17,803.131,281.954,281.954,1,1
epyc7351-2080ti,2080ti,b_serial_load_only,quant,8192,0.25,8,16,16,16,1024,0,0,329.508,329.493,329.516,0.00220859,0,329.508,0,0,0,1,1
epyc7351-2080ti,2080ti,b_serial,quant,8192,0.25,8,16,16,16,1024,2,0.271243,417.665,417.64,417.759,0.00469051,0,329.508,89.3766,88.1568,328.288,1,1
epyc7351-2080ti,2080ti,b_serial,quant,8192,0.25,8,16,16,16,1024,4,0.550989,496.279,496.152,496.385,0.0211996,0,329.508,181.555,166.771,314.724,1,1
epyc7351-2080ti,2080ti,b_serial,quant,8192,0.25,8,16,16,16,1024,9,1.26537,713.087,711.673,714.164,0.103877,0,329.508,416.951,296.136,296.136,1,1
epyc7351-2080ti,2080ti,b_serial,quant,8192,0.25,8,16,16,16,1024,17,2.43736,1086.07,1082.84,1093.49,0.197826,0,329.508,803.131,282.942,282.942,1,1
