# config.machine: epyc7351-2080ti
# config.bin: bench-rtrack
# config.transforms: all
# config.methods: both
# config.n: 2048; 4096; 8192; 16384
# config.chunk_mib: 4; 16; 64; 256
# config.threads: 8
# config.warmup: 5
# config.iters: 30
# config.out_csv: r1_gen3_nsweep.csv
# calibration.timestamp: 2026-07-20T15:27:08+0900
# calibration.hostname: rebel-gpu1
# calibration.kernel: Linux rebel-gpu1 6.8.0-124-generic #124~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue May 26 21:05:19 UTC  x86_64
# calibration.cpu_model: AMD EPYC 7351 16-Core Processor
# calibration.governors: performance
# calibration.transparent_hugepage: always [madvise] never
# calibration.numactl_available: False
# calibration.cuda_toolkit: None
# calibration.gpus: {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}
# calibration.pcie_under_load.gen: 3
# calibration.pcie_under_load.width: 16
# calibration.triad_gbps: 44.39
# calibration.nvbandwidth: None
# calibration.notes: nvbandwidth not installed
machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,verified
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,4096,s8,0.25,8,4,4194304,4,28.6992,27.7157,29.0629,0.556707,0,2.33835,28.6929,28.2274,1.35766,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,nchw_nhwc_quant,4096,s8,0.25,8,4,4194304,16,6.99745,6.60131,7.27485,4.26692,0,9.59047,6.99011,5.85746,5.50448,0.55616,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,4096,s8,0.25,8,16,16777216,1,27.1306,26.7111,27.2675,0.317686,0,2.47355,27.1236,25.805,1.30238,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,nchw_nhwc_quant,4096,s8,0.25,8,16,16777216,4,9.24197,9.20068,9.5345,0.621068,0,7.26131,9.23056,7.25378,6.22555,0.554256,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,nchw_nhwc_quant,4096,s8,0.25,8,64,67108864,1,9.76465,9.75139,9.87656,0.161061,0,6.87263,9.7568,4.03687,5.15147,0.554416,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,4096,f16,0.5,8,4,4194304,8,4.90118,4.84462,5.01076,0.843283,0,13.6924,4.89421,4.46812,2.96016,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,convert_f16,4096,f16,0.5,8,4,4194304,16,6.02134,5.62184,6.62308,8.45401,1,11.1452,6.01373,5.20496,5.36789,0.186496,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,4096,f16,0.5,8,16,16777216,2,5.72481,5.69931,5.8484,0.470777,0,11.7225,5.71803,4.36981,2.82506,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,convert_f16,4096,f16,0.5,8,16,16777216,4,8.84313,8.8162,8.9829,0.254708,0,7.58882,8.83666,7.22991,6.20182,0.186848,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,4096,f16,0.5,8,64,33554432,1,6.58741,6.48981,7.41095,3.69646,0,10.1874,6.57962,3.98147,2.58386,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,convert_f16,4096,f16,0.5,8,64,67108864,1,9.4059,9.38971,9.52139,0.217297,0,7.13476,9.39861,4.04442,5.15128,0.186352,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,8192,f32,1,8,4,4194304,64,679.612,662.501,690.443,1.25524,0,0.394983,679.609,677.971,21.2036,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose,8192,f32,1,8,4,4194304,64,24.957,23.7902,25.7215,2.71502,0,10.7559,24.95,21.9507,22.233,1.37274,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,8192,f32,1,8,16,16777216,16,403.417,398.804,422.504,0.588991,0,0.665404,403.412,401.642,20.7491,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose,8192,f32,1,8,16,16777216,16,33.7415,33.5138,34.1616,0.85719,0,7.95565,33.7332,30.4833,26.1704,1.37243,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,8192,f32,1,8,64,67108864,4,418.648,412.867,431.2,1.30309,0,0.641196,418.642,413.34,20.5932,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose,8192,f32,1,8,64,67108864,4,27.5777,27.489,28.1007,0.750199,0,9.7338,27.5702,20.8891,21.2035,1.37197,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,8192,f32,1,8,256,268435456,1,438.885,436.144,443.832,0.564165,0,0.611631,438.874,418.301,20.5499,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose,8192,f32,1,8,256,268435456,1,37.9129,37.8247,38.0819,0.417418,0,7.08032,37.905,15.9413,20.547,1.37139,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,8192,f32,1,8,4,4194304,64,39.0457,38.7439,40.2062,1.11761,0,6.87491,39.039,37.8025,20.9999,0,1
